,momentum,volatility,strength,breadth,safe_haven,put_call
1996-01-05,,,,-6.329620987823769,,
1996-01-08,,,,-7.802414282488792,,
1996-01-09,,,,-7.60906467416593,,
1996-01-10,,,,-4.967946513545799,,
1996-01-11,,,,-3.0168351789137087,,
1996-01-12,,,,-1.5429056908586503,,
1996-01-15,,,,-3.270584328115757,,
1996-01-16,,,,-2.617127565191829,,
1996-01-17,,,,-3.673619906323497,,
1996-01-18,,,,-4.704132528749695,,
1996-01-19,,,,-4.569471148218861,,
1996-01-22,,,,-3.324829018211676,,
1996-01-23,,,,-4.015841833021599,,
1996-01-24,,,,-4.760332374157873,,
1996-01-25,,,,-4.0611933419690045,,
1996-01-26,,,,-3.3092049223397875,,
1996-01-29,,,,-0.48393916118987446,,
1996-01-30,,,,2.1817525657088557,,
1996-01-31,,,,2.1483762874023813,,
1996-02-01,,,,4.320810060691821,,
1996-02-02,,,,6.275432110756701,,
1996-02-05,,,,7.504745169873297,,
1996-02-06,,,,5.586282107355698,,
1996-02-07,,,,4.566895026660489,,
1996-02-08,,,,7.016551359985418,,
1996-02-09,,,,8.65388335314198,,
1996-02-12,,,,7.25949661561704,,
1996-02-13,,,,7.758581608409813,,
1996-02-14,,,,8.894896921940607,,
1996-02-15,,,,6.911847697382237,,
1996-02-16,,,,3.8342249810512823,,
1996-02-19,,,,3.1365847433069227,,
1996-02-20,,,,1.8382497217032274,,
1996-02-21,,,,1.503859364605237,,
1996-02-22,,,,3.2311198363734617,,
1996-02-23,,,,3.0072067400145115,,
1996-02-26,,,,4.27896351474783,,
1996-02-27,,,,2.0459365064514494,,
1996-02-28,,,,1.6738815004975443,,
1996-02-29,,,,-1.3581770590765585,,
1996-03-01,,,,1.0708732625968325,,
1996-03-04,,,,0.6943139598018756,,
1996-03-05,,,,0.5680649382702209,,
1996-03-06,,,,1.5557542706205825,,
1996-03-07,,,,7.910930749881595e-05,,
1996-03-08,,,,-2.363675413041175,,
1996-03-11,,,,-3.388498513624176,,
1996-03-12,,,,-4.045154446240901,,
1996-03-13,,,,-1.855073702686053,,
1996-03-14,,,,-2.063246215945193,,
1996-03-15,,,,-2.5972100445342434,,
1996-03-18,,,,-4.1250101577677505,,
1996-03-19,,,,-5.011381498415046,,
1996-03-20,,,,-4.100213192779028,,
1996-03-21,,,,-1.5365195738879596,,
1996-03-22,,,0.5,-2.8935240238597326,,
1996-03-25,,,0.5,-1.6401499672280757,,
1996-03-26,,,0.5,-0.7964830036323682,,
1996-03-27,,,0.5,0.6210639428891108,,
1996-03-28,,,1.0,3.2354228676644,,
1996-03-29,,,0.5,2.465344316256193,,
1996-04-01,,,1.0,2.92619162012562,,
1996-04-02,,,0.5,3.303248235385006,,
1996-04-03,,,1.0,5.0662961003166,,
1996-04-04,,,1.0,2.69060359654747,,
1996-04-05,,,1.0,2.2014025545016596,,
1996-04-08,,,1.0,3.9829668828928617,,
1996-04-09,,,1.0,3.9860638149208003,,
1996-04-10,,,1.0,4.170415928681298,,
1996-04-11,,,1.0,2.139430492281491,,
1996-04-12,,,1.0,2.295897721018632,,
1996-04-15,,,1.0,2.96937102294183,,
1996-04-16,,,1.0,3.156758146169877,,
1996-04-17,,,1.0,6.037348033091476,,
1996-04-18,,,1.0,7.666921330411084,,
1996-04-19,,,1.0,6.636571887715953,,
1996-04-22,,,1.0,3.24810397607589,,
1996-04-23,,,1.0,2.11208499022542,,
1996-04-24,,,1.0,5.182615171372196,,
1996-04-25,,,1.0,1.876684982205671,,
1996-04-26,,,1.0,1.3536513286240053,,
1996-04-29,,,1.0,0.562078334456737,,
1996-04-30,,,1.0,1.005336830704541,,
1996-05-01,,,1.0,3.1861847263773577,,
1996-05-02,,,1.0,1.6977874773169153,,
1996-05-03,,,1.0,0.48000791852621993,,
1996-05-06,,,1.0,-1.7890844569153896,,
1996-05-07,,,1.0,-0.5547054529013011,,
1996-05-08,,,1.0,2.091604650225771,,
1996-05-09,,,1.0,-0.8341416686136476,,
1996-05-10,,,1.0,-2.682479556764138,,
1996-05-13,,,0.5,-1.4674832684902488,,
1996-05-14,,,1.0,-0.6552135804517362,,
1996-05-15,,,0.5,1.2820979852084464,,
1996-05-16,,,1.0,3.0489892647874797,,
1996-05-17,,,0.5,-0.2326451533172396,,
1996-05-20,,,0.5,-2.7358005839343145,,
1996-05-21,,,0.5,-3.6929277517266685,,
1996-05-22,,,0.5,-2.4760317955826223,,
1996-05-23,,,1.0,-4.025844197724413,,
1996-05-24,,,0.5,-1.6575088873735577,,
1996-05-27,,,0.5,-3.9015981818759085,,
1996-05-28,,,0.5,-4.101307603447494,,
1996-05-29,,,0.5,-0.446524401406047,,
1996-05-30,,,0.5,-2.7289745109641355,,
1996-05-31,,,1.0,-0.2327973265056944,,
1996-06-03,,,1.0,1.6277112787079464,,
1996-06-04,,,1.0,1.8772183189861429,,
1996-06-05,,,1.0,1.535905897303861,,
1996-06-06,,,1.0,2.8930139161334645,,
